id,name_en,name_local,lat,lon,polity,on_map,size_tier,always,capital_variant,capital_of,pop_c1920,pop_c1930,pop_c1940,pop_c1950,pop_ref,pop_ref_year,pop_basis,pop_quality,pop_sources,rationale
chongju,Seishū (Ch’ŏngju),청주 / 清州 (Seishū),36.64,127.49,Chōsen,proposed,small,,capital-province,North Ch’ungch’ŏng,,,30000,,30000,1940,inferred from 1940,estimate,kr_census,Provincial capital missing from the layer.
chinju,Shinshū (Chinju),진주 / 晉州 (Shinshū),35.19,128.08,Chōsen,proposed,small,,,,,,30000,,30000,1940,inferred from 1940,estimate,kr_census,Capital of South Kyŏngsang until 1925.
siping,Sìpíng (Ssupingkai),四平街 (Shiheigai),43.17,124.35,Republic of China,proposed,small,,,,,30000,70000,126000,30000,1930,contemporary (1930),estimate,mk_yearbook;cn_census1953,Rail junction on the Hsinking–Mukden line.
laohekou,Lǎohékǒu (Laohokow),老河口 (Rōkakō),32.39,111.67,Republic of China,proposed,small,,,,,,30000,40000,30000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,"Fourteenth Air Force base and the object of the last Japanese offensive in China, 1945."
enshi,Ēnshī (Enshih),恩施 (Onshi),30.3,109.49,Republic of China,proposed,small,,,,,,30000,40000,30000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,Hubei’s wartime provincial capital after the loss of Wuchang.
khotan,Khotan (Hotan),和闐 (Waten),37.11,79.93,Sinkiang,proposed,small,,,,,,30000,40000,30000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
cilacap,Tjilatjap (Cilacap),Tjilatjap,-7.73,109.01,Netherlands East Indies,proposed,small,,,,,30000,,,30000,1930,contemporary (1930),estimate,id_volkstelling,Java’s only south-coast port and the evacuation channel in March 1942; the ships leaving it were hunted down.
tacloban,Tacloban,Tacloban,11.24,125.0,Philippine Islands (US),proposed,small,,capital-province,Leyte,,,30000,45000,30000,1939,inferred from 1939,estimate,ph_census,MacArthur came ashore here on 20 October 1944; the seat of the restored Commonwealth government until Manila was retaken.
chunchon,Shunsen (Ch’unch’ŏn),춘천 / 春川 (Shunsen),37.88,127.73,Chōsen,proposed,small,,capital-province,Kangwŏn,,,28000,,28000,1940,inferred from 1940,estimate,kr_census,Provincial capital missing from the layer.
cagayandeoro,Cagayan de Misamis,Cagayan de Misamis,8.48,124.65,Philippine Islands (US),proposed,small,,capital-province,Misamis Oriental,,,28000,45000,28000,1939,inferred from 1939,estimate,ph_census,Where MacArthur was flown out of the Philippines in March 1942.
manado,Menado (Manado),,1.49,124.84,Netherlands East Indies,on map (browse layer),small,,capital-province,Manado,,27000,,,27000,1930,contemporary (1930),census (rounded),id_volkstelling,
hualien,"Karenkō (Hualiangang, Hualien)",,23.98,121.6,Formosa,on map (browse layer),small,,capital-province,Karenkō Prefecture,,,26000,,26000,1940,inferred from 1940,estimate,tw_51yr,
lhasa,Lhasa,,29.65,91.14,Tibet,on map (browse layer),medium,,capital-territory,Tibet,,,25000,30000,25000,1936,contemporary (1936),estimate,statesmans,
makung,"Makō, Pescadores (Magong, Makung)",,23.57,119.57,Formosa,on map (browse layer),small,,capital-province,Hōko Prefecture,,,25000,,25000,1940,inferred from 1940,estimate,tw_51yr,
maoka,Maoka (Kholmsk),真岡 (Maoka),47.06,142.05,Karafuto,proposed,small,,,,,,25000,,25000,1941,inferred from 1941,estimate,jp_teikoku;ndl_digital,West-coast port; the Soviet landing of 20 August 1945 and the telephone operators’ suicides.
shikuka,Shikuka (Poronaysk),敷香 (Shikuka),49.22,143.1,Karafuto,proposed,small,,,,,,25000,,25000,1941,inferred from 1941,estimate,jp_teikoku;ndl_digital,"The northernmost Japanese town on Sakhalin, on the frontier with the Soviet half."
suwon,Suigen (Suwŏn),수원 / 水原 (Suigen),37.26,127.01,Chōsen,proposed,small,,,,,,25000,,25000,1940,inferred from 1940,estimate,kr_census,The colonial agricultural experiment station.
danang,Tourane (Da Nang),沱㶞 (Tourane),16.07,108.22,French Indochina,proposed,small,,,,,25000,,,25000,1936,contemporary (1936),estimate,fr_annuaire,
pegu,Pegu (Bago),ပဲခူး,17.34,96.48,British India,proposed,small,,capital-province,Pegu Division,,25000,,47000,25000,1931,contemporary (1931),estimate,bur_census,
lingayen,Lingayen,Lingayen,16.02,120.23,Philippine Islands (US),proposed,small,,capital-province,Pangasinan,,,25000,35000,25000,1939,inferred from 1939,estimate,ph_census,The gulf used for the Japanese landing of December 1941 and the American landing of January 1945.
cabanatuan,Cabanatuan,Cabanatuan,15.49,120.97,Philippine Islands (US),proposed,small,,capital-province,Nueva Ecija,,,25000,40000,25000,1939,inferred from 1939,estimate,ph_census,"The largest American prisoner-of-war camp in the Pacific, and the raid that emptied it in January 1945."
legazpi,Legazpi,Legazpi,13.14,123.73,Philippine Islands (US),proposed,small,,capital-province,Albay,,,25000,40000,25000,1939,inferred from 1939,estimate,ph_census,A December 1941 landing point.
townsville,Townsville,Townsville,-19.26,146.82,Australia,proposed,small,,,,,25000,30000,41000,25000,1933,contemporary (1933),estimate,statesmans,"The forward base for the New Guinea campaign, and bombed in July 1942."
baguio,Baguio,,16.41,120.6,Philippine Islands (US),on map (browse layer),small,,,,,,24000,29000,24000,1939,inferred from 1939,census (rounded),ph_census,
seremban,Seremban,سرمبن,2.73,101.94,Malaya,proposed,small,,capital-province,Negeri Sembilan,,22000,,33000,22000,1931,contemporary (1931),estimate,my_census1931;my_census1947,State capital.
johore,Johore Bahru,,1.49,103.74,Malaya,on map (browse layer),small,,capital-province,Johor,,21000,,75000,21000,1931,contemporary (1931),estimate,my_census1931;my_census1947,
yanan,Yán’ān (Yenan),,36.6,109.49,Republic of China,on map (quiz site),small,,,,,,20000,30000,20000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
mudanjiang,Mutankiang (Mudanjiang),,44.58,129.6,Republic of China,on map (browse layer),small,,,,,20000,120000,252000,20000,1930,contemporary (1930),estimate,mk_yearbook;cn_census1953,
chongjin,Seishin (Ch’ŏngjin),,41.8,129.78,Chōsen,on map (browse layer),small,small,capital-province,North Hamgyŏng,,20000,197000,,20000,1930,contemporary (1930),estimate,kr_census,
toyohara,Toyohara (Yuzhno-Sakhalinsk),,46.96,142.73,Karafuto,on map (browse layer),small,,capital-territory,Karafuto,,20000,37000,,20000,1930,contemporary (1930),estimate,jp_teikoku;ndl_digital,
chaoyang,Cháoyáng (Chaoyang),,41.57,120.45,Republic of China,on map (browse layer),small,,,,,20000,30000,,20000,1930,contemporary (1930),estimate,mk_yearbook,
ominato,Ōminato,大湊 (Ōminato),41.29,141.12,Japan,proposed,small,,,,,,20000,30000,20000,1940,inferred from 1940,estimate,jp_census,The northern naval district guarding the Tsugaru Strait.
otomari,Ōtomari (Korsakov),大泊 (Ōtomari),46.63,142.78,Karafuto,proposed,small,,,,,,20000,,20000,1941,inferred from 1941,estimate,jp_teikoku;ndl_digital,Karafuto’s ferry port to Hokkaidō.
fuxin,Fùxīn (Fuhsin),阜新 (Fushin),42.02,121.67,Republic of China,proposed,small,,,,,20000,80000,189000,20000,1930,contemporary (1930),estimate,mk_yearbook;cn_census1953,Open-cast coal worked largely by conscripted Chinese labour.
duolun,Dolonnor (Duolun),多倫 (Taron),42.19,116.47,Republic of China,proposed,small,,,,,,20000,,20000,1936,contemporary (1936),estimate,cn_statistical,Taken in 1933 and a staging point for the push into Inner Mongolia.
hami,Hami (Kumul),哈密 (Hami),42.83,93.51,Sinkiang,proposed,small,,,,,,20000,30000,20000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,"The gate between Sinkiang and Kansu, and the terminus of the Soviet supply road into China."
aleksandrovsk,Aleksandrovsk-Sakhalinsky,Александровск-Сахалинский,50.9,142.16,USSR,proposed,small,,,,,,20000,,20000,1939,inferred from 1939,estimate,ussr_census,"The capital of Soviet northern Sakhalin, occupied by Japan 1920–25 in reprisal for Nikolaevsk."
vinh,Vinh,榮 (Vinh),18.68,105.68,French Indochina,proposed,small,,,,,20000,,,20000,1936,contemporary (1936),estimate,fr_annuaire,The Nghe-Tinh soviets of 1930–31.
songkhla,Songkhla,สงขลา,7.2,100.6,Siam,proposed,small,,capital-province,Songkhla,,,20000,30000,20000,1937,inferred from 1937,estimate,th_census,"One of the main Japanese landing beaches on the morning of 8 December 1941, and the road to Malaya."
korat,Nakhon Ratchasima (Korat),นครราชสีมา,14.97,102.1,Siam,proposed,small,,capital-province,Nakhon Ratchasima,,,20000,30000,20000,1937,inferred from 1937,estimate,th_census,The gateway to the Khorat plateau and the north-east.
prome,Prome (Pyay),ပြည်,18.82,95.22,British India,proposed,small,,,,,20000,,36000,20000,1931,contemporary (1931),estimate,bur_census,
taiping,Taiping,تاईڤيڠ,4.85,100.74,Malaya,proposed,small,,,,,20000,,30000,20000,1931,contemporary (1931),estimate,my_census1931;my_census1947,
pekanbaru,Pekanbaru,Pakanbaroe,0.51,101.45,Netherlands East Indies,proposed,small,,,,,20000,,,20000,1930,contemporary (1930),estimate,id_volkstelling,"The Sumatra railway, built 1943–45 by prisoner and rōmusha labour and finished on the day of the surrender."
denpasar,Denpasar (Bali),Denpasar,-8.65,115.22,Netherlands East Indies,proposed,small,,capital-province,Bali & Lombok,,20000,,,20000,1930,contemporary (1930),estimate,id_volkstelling,
angeles,Angeles (Clark Field),Angeles,15.15,120.59,Philippine Islands (US),proposed,small,,,,,,20000,30000,20000,1939,inferred from 1939,estimate,ph_census,"Clark Field, destroyed on the ground on 8 December 1941."
ambon,Ambon (Amboina),,-3.7,128.18,Netherlands East Indies,on map (browse layer),small,,capital-province,Moluccas,,19000,,,19000,1930,contemporary (1930),census (rounded),id_volkstelling,
simla,Simla (Shimla),,31.1,77.17,British India,on map (browse layer),small,,,,,18000,19000,43000,18000,1931,contemporary (1931),estimate,in_census,
trincomalee,Trincomalee,,8.59,81.21,Ceylon,on map (browse layer),small,,,,,18000,,26000,18000,1931,contemporary (1931),estimate,lk_census,
kotabharu_c,Kota Bharu,كوت بهارو,6.13,102.24,Malaya (Unfederated Malay States),proposed,small,,capital-province,Kelantan,,18000,,30000,18000,1931,contemporary (1931),estimate,my_census1931;my_census1947,"Already a battle marker for the first landing of the Pacific War; also a state capital, and one of the four states transferred to Thailand in 1943."
jambi,Jambi,Djambi,-1.61,103.61,Netherlands East Indies,proposed,small,,capital-province,Jambi,,18000,,,18000,1930,contemporary (1930),estimate,id_volkstelling,
shillong,Shillong,শিলং,25.58,91.89,British India,proposed,small,,capital-province,Assam,,17000,20000,53000,17000,1931,contemporary (1931),estimate,in_census,"Provincial capital, and the rear base of the Assam front."
alorsetar,Alor Setar,الور ستار,6.12,100.37,Malaya (Unfederated Malay States),proposed,small,,capital-province,Kedah,,17000,,30000,17000,1931,contemporary (1931),estimate,my_census1931;my_census1947,"State capital, and one of the four states transferred to Thailand in 1943."
bandaaceh,Kutaraja (Banda Aceh),Koetaradja,5.55,95.32,Netherlands East Indies,proposed,small,,capital-province,Aceh,,17000,,,17000,1930,contemporary (1930),estimate,id_volkstelling,Residency capital at the northern tip of Sumatra.
kangding,Kāngdìng (Kangting),,30.05,101.96,Republic of China,on map (browse layer),small,,,,,,15000,20000,15000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
yanji,Yenki (Yanji),,42.91,129.51,Republic of China,on map (browse layer),small,,,,,15000,40000,,15000,1930,contemporary (1930),estimate,mk_yearbook,
jiamusi,Jiāmùsī (Kiamusze),,46.81,130.32,Republic of China,on map (browse layer),small,,,,,15000,70000,110000,15000,1930,contemporary (1930),estimate,mk_yearbook;cn_census1953,
songjin,Jōshin (Sŏngjin),성진 / 城津 (Jōshin),40.67,129.2,Chōsen,proposed,small,,,,,15000,40000,,15000,1930,contemporary (1930),estimate,kr_census,Magnesite and steel; one of the northern industrial ports.
kongju,Kōshū (Kongju),공주 / 公州 (Kōshū),36.45,127.12,Chōsen,proposed,small,,capital-province,South Ch’ungch’ŏng,,,15000,,15000,1940,inferred from 1940,estimate,kr_census,"Capital of South Ch’ungch’ŏng until 1932, when the seat moved to Taejŏn."
taitung,"Taitō (Taidong, Taitung)",臺東 (Taitō),22.76,121.14,Formosa,proposed,small,,capital-province,Taitō Prefecture,,,15000,,15000,1940,inferred from 1940,estimate,tw_51yr,The last of the eight Taiwanese prefectural seats missing from the layer.
tonghua,Tōnghuà,通化 (Tsūka),41.73,125.94,Republic of China,proposed,small,,,,,15000,40000,,15000,1930,contemporary (1930),estimate,mk_yearbook,"Manchukuo’s final capital in August 1945, and the redoubt planned for the Kwantung Army’s last stand."
hailar,Hailar,海拉爾 (Hairaru),49.2,119.7,Republic of China,proposed,small,,,,,15000,30000,,15000,1930,contemporary (1930),estimate,mk_yearbook,The Hulunbuir garrison and fortified zone facing Mongolia; the base for the Nomonhan fighting.
manzhouli,Manchouli (Manzhouli),滿洲里 (Manshūri),49.6,117.45,Republic of China,proposed,small,,,,,15000,25000,,15000,1930,contemporary (1930),estimate,mk_yearbook,The rail frontier with the Soviet Union on the Chinese Eastern Railway.
nikolaevsk,Nikolaevsk-on-Amur,Николаевск-на-Амуре,53.14,140.73,USSR,proposed,small,,,,,,15000,,15000,1939,inferred from 1939,estimate,ussr_census,Already on the map as a battle marker for the 1920 massacre; worth a settlement marker too.
battambang,Battambang,បាត់ដំបង,13.1,103.2,French Indochina,proposed,small,,capital-province,Battambang,,15000,,,15000,1936,contemporary (1936),estimate,fr_annuaire,Capital of the province Thailand took in 1941 and the map already draws as ceded.
ayutthaya,Ayutthaya,พระนครศรีอยุธยา,14.35,100.58,Siam,proposed,small,,capital-province,Phra Nakhon Si Ayutthaya,,,15000,20000,15000,1937,inferred from 1937,estimate,th_census,The old Siamese capital.
meiktila,Meiktila,မိတ္ထီလာ,20.88,95.86,British India,proposed,small,,,,,15000,,25000,15000,1931,contemporary (1931),estimate,bur_census,The battle of February–March 1945 that broke the Japanese army in Burma; the road and airfield hub behind Mandalay.
toungoo,Toungoo,တောင်ငူ,18.94,96.43,British India,proposed,small,,,,,15000,,32000,15000,1931,contemporary (1931),estimate,bur_census,Chennault’s AVG trained here; taken in the 1942 advance.
tavoy,Tavoy (Dawei),ထားဝယ်,14.08,98.19,British India,proposed,small,,capital-province,Tenasserim,,15000,,25000,15000,1931,contemporary (1931),estimate,bur_census,Airfields used against Rangoon in 1942.
mergui,Mergui (Myeik),မြိတ်,12.44,98.6,British India,proposed,small,,,,,15000,,22000,15000,1931,contemporary (1931),estimate,bur_census,
kualaterengganu,Kuala Terengganu,كوالا ترڠݢانو,5.33,103.14,Malaya (Unfederated Malay States),proposed,small,,capital-province,Terengganu,,15000,,25000,15000,1931,contemporary (1931),estimate,my_census1931;my_census1947,"State capital, transferred to Thailand in 1943."
samarinda,Samarinda,Samarinda,-0.5,117.15,Netherlands East Indies,proposed,small,,,,,15000,,,15000,1930,contemporary (1930),estimate,id_volkstelling,The Kutai oilfields.
vigan,Vigan,Vigan,17.57,120.39,Philippine Islands (US),proposed,small,,capital-province,Ilocos Sur,,,15000,20000,15000,1939,inferred from 1939,estimate,ph_census,A December 1941 landing point.
jolo,Jolo,Jolo,6.05,121.0,Philippine Islands (US),proposed,small,,capital-province,Sulu,,,15000,20000,15000,1939,inferred from 1939,estimate,ph_census,
garapan,Garapan (Saipan),ガラパン (Garapan),15.21,145.72,Nan’yō,proposed,small,,capital-province,Saipan District,,,15000,,15000,1940,inferred from 1940,estimate,nanyo_stats,"The largest Japanese town in Micronesia, about 15,000 people and the administrative and sugar capital of the Marianas, destroyed in the battle of June 1944. Saipan is a battle marker; the town is not on the layer."
sandakan,Sandakan,Sandakan,5.84,118.12,North Borneo,proposed,small,,capital-province,Sandakan,,14000,,10000,14000,1931,contemporary (1931),estimate,uk_colonial,"The capital of North Borneo until 1946, the prisoner-of-war camp, and the starting point of the death marches to Ranau in 1945, which six men survived."
shimoda,Shimoda,,34.67,138.95,Japan,on map (quiz site),small,,,,,,12000,14000,12000,1940,inferred from 1940,estimate,jp_census,
shigatse,Shigatse,,29.27,88.88,Tibet,on map (browse layer),small,,,,,,12000,,12000,1936,contemporary (1936),estimate,statesmans,
heihe,Heihe (Sakhalyan/Aigun),黑河 (Kokka),50.25,127.53,Republic of China,proposed,small,,,,,12000,20000,,12000,1930,contemporary (1930),estimate,mk_yearbook,The Amur crossing facing Blagoveshchensk.
yenangyaung,Yenangyaung,ရေနံချောင်း,20.46,94.87,British India,proposed,small,,,,,12000,,20000,12000,1931,contemporary (1931),estimate,bur_census,"The Irrawaddy oilfields — a principal reason for the invasion of Burma, and destroyed by the retreating British in April 1942."
ternate,Ternate,Ternate,0.79,127.38,Netherlands East Indies,proposed,small,,capital-province,Ternate,,12000,,,12000,1930,contemporary (1930),estimate,id_volkstelling,The old spice sultanate and residency seat.
bengkulu,Benkoelen (Bengkulu),Benkoelen,-3.79,102.26,Netherlands East Indies,proposed,small,,capital-province,Bengkulu,,12000,,,12000,1930,contemporary (1930),estimate,id_volkstelling,"Sukarno’s place of exile, 1938–42."
capas,Capas (Camp O’Donnell),Capas,15.33,120.59,Philippine Islands (US),proposed,small,,,,,,12000,20000,12000,1939,inferred from 1939,estimate,ph_census,"The end of the Bataan Death March, where thousands more died in the weeks that followed."
aparri,Aparri,Aparri,18.36,121.64,Philippine Islands (US),proposed,small,,,,,,12000,20000,12000,1939,inferred from 1939,estimate,ph_census,"The first Japanese landing in the Philippines, 10 December 1941."
noumea,Nouméa,Nouméa,-22.28,166.46,New Caledonia,proposed,small,,capital-territory,New Caledonia,,,11000,,11000,1940,inferred from 1940,estimate,statesmans,"Optional, and off the present frame: Free French from September 1940 and the headquarters of the South Pacific Area."
vientiane,Vientiane,,17.97,102.6,French Indochina,on map (browse layer),small,,capital-territory,Laos,,10000,,,10000,1936,contemporary (1936),estimate,fr_annuaire,
agana,Agana (Hagatna),,13.47,144.75,Guam,on map (browse layer),small,,capital-territory,Guam,,,10000,1000,10000,1940,inferred from 1940,estimate,us_census_outlying,
tarakan,Tarakan,,3.3,117.59,Netherlands East Indies,on map (browse layer),small,,,,,10000,,,10000,1930,contemporary (1930),estimate,id_volkstelling,
etajima,Etajima,江田島 (Etajima),34.23,132.46,Japan,proposed,small,,,,,,10000,12000,10000,1940,inferred from 1940,estimate,jp_census,The Imperial Naval Academy.
hungnam,Kōnan (Hŭngnam),흥남 / 興南 (Kōnan),39.83,127.62,Chōsen,proposed,small,,,,,10000,80000,,10000,1930,contemporary (1930),estimate,kr_sotokufu,"Noguchi Jun’s chemical combine, the largest industrial complex in the empire outside Japan, built on Korean and later forced labour."
sanya,Samah (Sanya),三亞 (Sanā),18.25,109.51,Republic of China,proposed,small,,,,,,10000,20000,10000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,"The naval base and iron-ore port at the southern tip of Hainan, worked by prisoner and conscript labour."
choibalsan,Choibalsan,Чойбалсан,48.07,114.54,Mongolia,proposed,small,,capital-province,Dornod,,,10000,,10000,1944,inferred from 1944,estimate,statesmans,The Soviet–Mongolian supply base for Khalkhin Gol.
langson,Lang Son,諒山 (Lạng Sơn),21.85,106.76,French Indochina,proposed,small,,,,,10000,,,10000,1936,contemporary (1936),estimate,fr_annuaire,"The frontier post attacked by the Japanese army on 22–25 September 1940, the opening of the Japanese presence in Indochina."
dalat,Dalat,大叻 (Đà Lạt),11.94,108.44,French Indochina,proposed,small,,,,,10000,,,10000,1936,contemporary (1936),estimate,fr_annuaire,The hill station and administrative retreat of French Indochina.
pattani,Pattani,ปัตตานี,6.87,101.25,Siam,proposed,small,,capital-province,Pattani,,,10000,15000,10000,1937,inferred from 1937,estimate,th_census,A landing beach of 8 December 1941.
kanchanaburi,Kanchanaburi,กาญจนบุรี,14.02,99.53,Siam,proposed,small,,capital-province,Kanchanaburi,,,10000,15000,10000,1937,inferred from 1937,estimate,th_census,"The eastern end of the Burma–Siam railway, the bridge over the Khwae Yai, and the largest of the prisoner-of-war camps."
phuket,Phuket,ภูเก็ต,7.88,98.39,Siam,proposed,small,,capital-province,Phuket,,,10000,15000,10000,1937,inferred from 1937,estimate,th_census,"Tin, and the Andaman coast the map already gives Thailand."
panjim,Nova Goa (Panjim),Pangim,15.5,73.83,Portuguese India,proposed,small,,capital-territory,Portuguese India,,10000,13000,17000,10000,1931,contemporary (1931),estimate,pt_timor;statesmans,"Capital of Portuguese India, drawn on the map and neutral throughout — and the scene of the March 1943 Operation Creek raid on German ships in Mormugao harbour."
kyzyl,Kyzyl,Кызыл,51.72,94.44,Tannu Tuva,proposed,small,,capital-territory,Tannu Tuva,,,10000,,10000,1944,inferred from 1944,estimate,statesmans,"Capital of the Tuvan People’s Republic, which the map draws and which declared war on Germany in June 1941."
olongapo,Olongapo (Subic Bay),Olongapo,14.83,120.28,Philippine Islands (US),proposed,small,,,,,,10000,20000,10000,1939,inferred from 1939,estimate,ph_census,The American naval station on Subic Bay.
kupang,Koepang (Kupang),,-10.17,123.61,Netherlands East Indies,on map (browse layer),small,,capital-province,Timor,,9000,,,9000,1930,contemporary (1930),estimate,id_volkstelling,
luangprabang,Luang Prabang,,19.89,102.14,French Indochina,on map (browse layer),small,,capital-province,Luang Prabang (royal capital),,8000,,,8000,1936,contemporary (1936),estimate,fr_annuaire,
brunei,Brunei Town,,4.89,114.94,Brunei,on map (browse layer),small,,capital-territory,Brunei,,8000,,11000,8000,1931,contemporary (1931),estimate,uk_colonial,
lashio,Lashio,,22.94,97.75,British India,on map (browse layer),small,,,,,8000,,12000,8000,1931,contemporary (1931),estimate,bur_census,
myitkyina,Myitkyina,,25.38,97.4,British India,on map (browse layer),small,,capital-province,Myitkyina District,,8000,,12000,8000,1931,contemporary (1931),estimate,bur_census,
sabang,Sabang,,5.89,95.32,Netherlands East Indies,on map (browse layer),small,,,,,8000,,,8000,1930,contemporary (1930),estimate,id_volkstelling,
suifenhe,Suifenho (Pogranichnaya),綏芬河 (Suifenga),44.4,131.15,Republic of China,proposed,small,,,,,8000,15000,,8000,1930,contemporary (1930),estimate,mk_yearbook,"The eastern rail crossing to Vladivostok, and a fortified belt."
gyantse,Gyantse,རྒྱལ་རྩེ།,28.95,89.6,Tibet,proposed,small,,,,,,8000,,8000,1936,contemporary (1936),estimate,statesmans,"The British trade agency and garrison, the furthest permanent British presence in Tibet."
portblair,Port Blair,पोर्ट ब्लेयर,11.62,92.73,British India,proposed,small,,capital-territory,Andaman & Nicobar Islands,,8000,15000,8000,8000,1931,contemporary (1931),estimate,in_census;statesmans,"The only Indian territory Japan occupied, from March 1942; nominally handed to the Provisional Government of Free India in 1943, and the site of the penal settlement."
kuantan,Kuantan,كوانتن,3.81,103.33,Malaya,proposed,small,,,,,8000,,15000,8000,1931,contemporary (1931),estimate,my_census1931;my_census1947,"The landing of 8 December 1941, and the sea off it where Prince of Wales and Repulse were sunk on the 10th."
bangka,Muntok (Bangka),Moentok,-2.07,105.16,Netherlands East Indies,proposed,small,,,,,8000,,,8000,1930,contemporary (1930),estimate,id_volkstelling,"The Bangka Island massacre of Australian nurses, 16 February 1942, and the tin islands."
apia,Apia,Apia,-13.83,-171.77,Western Samoa,proposed,small,,capital-territory,Western Samoa,,,8000,,8000,1940,inferred from 1940,estimate,lon_mandates,"Optional, and off the present frame: a New Zealand mandate and an American garrison base."
canberra,Canberra,Canberra,-35.28,149.13,Australia,proposed,small,,capital-territory,Australia,,8000,11000,30000,8000,1933,contemporary (1933),estimate,statesmans,The capital of a belligerent the map already draws.
taunggyi,Taunggyi,တောင်ကြီး,20.79,97.04,British India,proposed,small,,capital-province,Federated Shan States,,7000,,11000,7000,1931,contemporary (1931),estimate,bur_census,
bhamo,Bhamo,ဗန်းမော်,24.26,97.23,British India,proposed,small,,,,,7000,,10000,7000,1931,contemporary (1931),estimate,bur_census,On the Burma Road and the Ledo Road’s junction with it.
koror,Koror,,7.34,134.48,Nan’yō,on map (browse layer),small,,capital-territory,South Seas Mandate,,,6000,,6000,1940,inferred from 1940,estimate,nanyo_stats,
kengtung,Kengtung,ကျိုင်းတုံ,21.3,99.6,British India,proposed,small,,capital-province,Kengtung State,,6000,,9000,6000,1931,contemporary (1931),estimate,bur_census;statesmans,The capital of the trans-Salween Shan states the map already draws as Thai-administered.
miri,Miri,Miri,4.4,113.99,Sarawak,proposed,small,,,,,6000,,10000,6000,1931,contemporary (1931),estimate,uk_colonial,"The Sarawak oilfields and refinery, seized on 16 December 1941 — the first objective in Borneo."
rabaul,Rabaul,,-4.2,152.16,New Guinea,on map (quiz site),small,,capital-territory,Territory of New Guinea,,,5000,,5000,1940,inferred from 1940,estimate,lon_mandates,
jesselton,Jesselton (Kota Kinabalu),,5.98,116.07,North Borneo,on map (browse layer),small,,capital-territory,North Borneo,,5000,,10000,5000,1931,contemporary (1931),estimate,uk_colonial,
dili,Dili,,-8.56,125.56,Portuguese Timor,on map (browse layer),small,,capital-territory,Portuguese Timor,,5000,,8000,5000,1930,contemporary (1930),estimate,pt_timor,
savannakhet,Savannakhet,ສະຫວັນນະເຂດ,16.56,104.75,French Indochina,proposed,small,,,,,5000,,,5000,1936,contemporary (1936),estimate,fr_annuaire,
prachuap,Prachuap Khiri Khan,ประจวบคีรีขันธ์,11.81,99.8,Siam,proposed,small,,capital-province,Prachuap Khiri Khan,,,5000,8000,5000,1937,inferred from 1937,estimate,th_census,A landing point of 8 December 1941 and the sharpest Thai resistance.
digboi,Digboi,ডিগবয়,27.39,95.62,British India,proposed,small,,,,,5000,8000,12000,5000,1931,contemporary (1931),estimate,in_census,"India’s oilfield and refinery, and the fuel behind the Assam front."
kualalipis,Kuala Lipis,كوالا ليڤيس,4.18,102.05,Malaya,proposed,small,,capital-province,Pahang,,5000,,8000,5000,1931,contemporary (1931),estimate,my_census1931;my_census1947,State capital of Pahang until 1955.
kendari,Kendari,Kendari,-3.97,122.51,Netherlands East Indies,proposed,small,,,,,5000,,,5000,1930,contemporary (1930),estimate,id_volkstelling,"The airfield taken in January 1942 — the best in the Indies, and the base from which Java and Darwin were bombed."
chichijima,Futami (Chichijima),父島 (Chichijima),27.09,142.19,Ogasawara,proposed,small,,capital-territory,Ogasawara Islands,,,5000,,5000,1940,inferred from 1940,estimate,jp_census,The administrative centre of the Bonins and a fortified base; the Chichijima incident of 1944–45.
dublon,"Dublon (Tonoas), Truk",夏島 (Natsushima),7.36,151.87,Nan’yō,proposed,small,,capital-province,Truk District,,,4000,,4000,1940,inferred from 1940,estimate,nanyo_stats,The naval town and headquarters of the Combined Fleet’s great anchorage.
najin,Rashin (Najin),,42.24,130.29,Chōsen,on map (browse layer),small,,,,,3000,26000,,3000,1930,contemporary (1930),estimate,kr_census,
hohhot2,Éjìnà (Etsina),,41.03,101.05,Republic of China,on map (browse layer),small,,,,,,3000,,3000,1936,contemporary (1936),estimate,statesmans,
camranh,Cam Ranh,金蘭 (Cam Ranh),11.92,109.16,French Indochina,proposed,small,,,,,3000,,,3000,1936,contemporary (1936),estimate,fr_annuaire,The anchorage where the invasion convoys for Malaya and the Indies assembled in December 1941.
thanbyuzayat,Thanbyuzayat,သံဖြူဇရပ်,15.97,97.73,British India,proposed,small,,,,,3000,,5000,3000,1931,contemporary (1931),estimate,bur_census,The western terminus of the Burma–Siam railway and its cemetery.
ledo,Ledo,লেডো,27.3,95.74,British India,proposed,small,,,,,3000,5000,8000,3000,1931,contemporary (1931),estimate,in_census,"The railhead where the Ledo Road began, the overland supply line built to replace the Burma Road."
gangtok,Gangtok,གངས་ཏོག,27.33,88.61,Sikkim,proposed,small,,capital-territory,Sikkim,,,3000,,3000,1941,inferred from 1941,estimate,statesmans,Capital of a protectorate the map already draws.
